No,month,product_id,brand,2-15 times,16-3 times,>30 times,total_recurrence
1,October,1004856,samsung,766,0,0,766
2,October,1004767,samsung,576,1,0,577
3,October,4804056,apple,386,1,0,387
4,October,1005115,apple,345,0,0,345
5,October,1004833,samsung,343,1,0,344
6,October,1002544,apple,302,1,0,303
7,October,1004249,apple,284,1,0,285
8,October,1004870,samsung,272,0,0,272
9,October,1005105,apple,207,0,0,207
10,October,1004836,samsung,205,0,0,205
1,November,1004856,samsung,840,1,1,842
2,November,1005115,apple,659,2,0,661
3,November,4804056,apple,533,2,0,535
4,November,1004767,samsung,512,1,0,513
5,November,1004833,samsung,327,0,1,328
6,November,1002544,apple,318,0,0,318
7,November,1004249,apple,234,0,0,234
8,November,1005100,samsung,226,0,0,226
9,November,1004870,samsung,210,0,0,210
10,November,1005105,apple,192,0,0,192
1,December,1004856,samsung,1004,2,0,1006
2,December,1004767,samsung,926,3,1,930
3,December,1005115,apple,833,0,0,833
4,December,4804056,apple,723,1,1,725
5,December,1005100,samsung,639,1,1,641
6,December,1002544,apple,611,5,1,617
7,December,1004249,apple,364,2,1,367
8,December,1005212,samsung,318,0,0,318
9,December,1004870,samsung,299,0,0,299
10,December,1005160,xiaomi,293,0,0,293
