date,sales,deviation,deviation_per
2019-11-17,17349449.99,14551525.571319,5.2008286836350
2019-11-16,7093100.58,4295176.161319,1.5351294454708
2019-12-16,6030977.69,3233053.271319,1.1555184442199
2019-12-17,4565313.39,1767388.971319,0.6316785970052
2019-12-30,4552483.78,1754559.361319,0.6270931943709
2019-12-18,4363770.82,1565846.401319,0.5596457112509
2019-12-29,4278867.25,1480942.831319,0.5293005134203
2019-12-19,4247537.43,1449613.011319,0.5181029915034
2019-12-23,4174591.43,1376667.011319,0.4920315224126
2019-12-20,4044145.89,1246221.471319,0.4454092694564
2019-12-24,4025415.07,1227490.651319,0.4387147283620
2019-12-28,3965961.23,1168036.811319,0.4174654624408
2019-12-25,3906501.05,1108576.631319,0.3962139305541
2019-12-26,3870387.09,1072462.671319,0.3833065197038
2019-12-22,3848193.03,1050268.611319,0.3753741896338
2019-12-27,3819478.89,1021554.471319,0.3651115321409
2019-12-21,3802788.73,1004864.311319,0.3591463388395
2019-12-31,3463608.05,665683.631319,0.2379205195374
2019-12-15,3207302.73,409378.311319,0.1463149999999
2019-10-16,2938903.87,140979.451319,0.0503871549845
2019-10-14,2839931.76,42007.341319,0.0150137512788
2019-11-29,2805406.20,7481.781319,0.0026740469718
2019-10-17,2708629.91,-89294.508681,-0.0319145535472
2019-10-15,2642016.24,-155908.178681,-0.0557227985288
2019-10-04,2603886.27,-194038.148681,-0.0693507470700
2019-10-13,2526830.09,-271094.328681,-0.0968912265360
2019-12-02,2520249.05,-277675.368681,-0.0992433415381
2019-12-10,2492747.38,-305177.038681,-0.1090726528006
2019-11-18,2470010.90,-327913.518681,-0.1171988480073
2019-12-01,2454102.81,-343821.608681,-0.1228845233936
2019-12-09,2449729.43,-348194.988681,-0.1244476035007
2019-12-07,2442841.59,-355082.828681,-0.1269093712147
2019-12-06,2438584.52,-359339.898681,-0.1284308812210
2019-12-12,2423640.09,-374284.328681,-0.1337721370106
2019-10-18,2421061.61,-376862.808681,-0.1346937058645
2019-11-30,2402524.77,-395399.648681,-0.1413189169947
2019-10-22,2402158.33,-395766.088681,-0.1414498855075
2019-12-14,2358658.01,-439266.408681,-0.1569972390062
2019-12-11,2352007.40,-445917.018681,-0.1593742188687
2019-11-04,2351218.11,-446706.308681,-0.1596563172681
2019-11-08,2342068.49,-455855.928681,-0.1629264627870
2019-12-13,2336061.43,-461862.988681,-0.1650734328623
2019-10-21,2324729.05,-473195.368681,-0.1691237138221
2019-10-11,2313479.08,-484445.338681,-0.1731445408055
2019-10-19,2296922.82,-501001.598681,-0.1790618772030
2019-10-23,2280588.68,-517335.738681,-0.1848998261808
2019-11-06,2277189.62,-520734.798681,-0.1861146767240
2019-10-20,2258392.51,-539531.908681,-0.1928329103812
2019-11-11,2254095.17,-543829.248681,-0.1943688131995
2019-12-05,2245938.03,-551986.388681,-0.1972842386290
2019-12-08,2237375.22,-560549.198681,-0.2003446536791
2019-10-05,2226364.60,-571559.818681,-0.2042799351065
2019-12-03,2223356.98,-574567.438681,-0.2053548819420
2019-11-19,2210191.22,-587733.198681,-0.2100604272070
2019-10-12,2208219.02,-589705.398681,-0.2107653068624
2019-10-24,2204781.00,-593143.418681,-0.2119940820133
2019-12-04,2173989.15,-623935.268681,-0.2229993292582
2019-11-05,2169811.12,-628113.298681,-0.2244925897523
2019-10-25,2149601.85,-648322.568681,-0.2317155404029
2019-11-27,2121496.67,-676427.748681,-0.2417605508443
2019-11-25,2117233.82,-680690.598681,-0.2432841266677
2019-11-28,2114049.61,-683874.808681,-0.2444221881460
2019-11-22,2111286.80,-686637.618681,-0.2454096379790
2019-10-27,2109693.67,-688230.748681,-0.2459790350611
2019-11-21,2104251.34,-693673.078681,-0.2479241662318
2019-10-26,2101695.31,-696229.108681,-0.2488377112807
2019-11-14,2092967.53,-704956.888681,-0.2519570878949
2019-11-20,2088093.84,-709830.578681,-0.2536989826965
2019-11-07,2081901.42,-716022.998681,-0.2559122018809
2019-10-09,2066277.55,-731646.868681,-0.2614962948234
2019-11-12,2053209.39,-744715.028681,-0.2661669570875
2019-11-26,2050611.88,-747312.538681,-0.2670953274118
2019-11-13,2048498.68,-749425.738681,-0.2678506015664
2019-11-01,2039256.53,-758667.888681,-0.2711538180287
2019-10-06,2028174.81,-769749.608681,-0.2751145111503
2019-10-30,2020214.18,-777710.238681,-0.2779597023738
2019-11-09,2012337.34,-785587.078681,-0.2807749463981
2019-10-10,1996667.30,-801257.118681,-0.2863755408585
2019-10-08,1985301.36,-812623.058681,-0.2904378164240
2019-11-10,1978988.12,-818936.298681,-0.2926942176183
2019-11-03,1943561.59,-854362.828681,-0.3053559356274
2019-11-24,1936107.91,-861816.508681,-0.3080199389686
2019-10-31,1932946.40,-864978.018681,-0.3091498872899
2019-11-02,1926120.56,-871803.858681,-0.3115894957205
2019-10-29,1923289.14,-874635.278681,-0.3126014673024
2019-10-07,1903303.61,-894620.808681,-0.3197444515327
2019-10-01,1885525.88,-912398.538681,-0.3260983508308
2019-10-28,1879834.03,-918090.388681,-0.3281326623947
2019-11-23,1871753.75,-926170.668681,-0.3310206174610
2019-10-02,1866142.41,-931782.008681,-0.3330261541233
2019-10-03,1832162.17,-965762.248681,-0.3451709568110
